timestamp_utc,sku,scope,status,details,product_url,image_url
2026-08-21T16:11:57+00:00,LM-82222857,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82184784,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82231896,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-91850375,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82240553,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82184779,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82231864,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-86273382,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82240552,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-86273304,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-96149080,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88713230,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120691,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120696,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120682,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120681,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120686,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120698,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88143176,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-96548381,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88147216,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88142316,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120702,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-88120708,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80125449,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80125445,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-69602946,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-60499782,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80121079,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80125451,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-60499761,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-89110075,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82509557,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80125279,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80121101,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80121102,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80121094,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80125446,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-82509558,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80130316,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80121040,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80125281,existing,not_found,consecutive=1,,
2026-08-21T16:11:57+00:00,LM-80121093,existing,not_found,consecutive=1,,
