Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Visserie / boulonnerie / fixation – Réf. 82582789,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582789,,,À fournir par le client - Leroy Merlin - Réf. 82582789,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582790,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582790,,,À fournir par le client - Leroy Merlin - Réf. 82582790,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582791,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582791,,,À fournir par le client - Leroy Merlin - Réf. 82582791,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582794,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582794,,,À fournir par le client - Leroy Merlin - Réf. 82582794,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582796,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582796,,,À fournir par le client - Leroy Merlin - Réf. 82582796,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582799,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582799,,,À fournir par le client - Leroy Merlin - Réf. 82582799,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582802,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582802,,,À fournir par le client - Leroy Merlin - Réf. 82582802,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582803,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582803,,,À fournir par le client - Leroy Merlin - Réf. 82582803,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582804,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582804,,,À fournir par le client - Leroy Merlin - Réf. 82582804,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582808,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582808,,,À fournir par le client - Leroy Merlin - Réf. 82582808,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582810,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582810,,,À fournir par le client - Leroy Merlin - Réf. 82582810,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582812,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582812,,,À fournir par le client - Leroy Merlin - Réf. 82582812,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582814,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582814,,,À fournir par le client - Leroy Merlin - Réf. 82582814,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
