SKU,query_ref_digits_only,status,product_url,source_image_url,hosted_image_url
LM-80129158,80129158,not_found,,,
LM-91988857,91988857,not_found,,,
LM-82620216,82620216,not_found,,,
LM-82620217,82620217,not_found,,,
LM-80129018,80129018,not_found,,,
LM-80129330,80129330,not_found,,,
LM-91952412,91952412,not_found,,,
LM-91952413,91952413,not_found,,,
LM-91952437,91952437,not_found,,,
LM-88319690,88319690,not_found,,,
